threshold,coverage,accuracy,cov_Light,acc_Light,cov_Medium,acc_Medium
0.54,0.9684282772820865,0.7753366406803686,0.9516728624535316,0.771484375,0.9820441988950276,0.7918424753867792
0.55,0.9588194921070693,0.7780959198282033,0.9460966542750929,0.7721021611001965,0.9682320441988951,0.7960057061340942
0.56,0.9478380233356212,0.781317885590152,0.9386617100371747,0.7742574257425743,0.9558011049723757,0.7976878612716763
0.57,0.9444063143445436,0.78125,0.9349442379182156,0.7733598409542743,0.9530386740331491,0.7985507246376812
0.58,0.9375428963623885,0.781112737920937,0.9237918215613383,0.7746478873239436,0.9488950276243094,0.7976710334788938
0.59,0.9251887439945092,0.7848664688427299,0.9107806691449815,0.7775510204081633,0.9378453038674033,0.8026509572901326
0.6,0.9135209334248455,0.7881292261457551,0.8977695167286245,0.782608695652174,0.9281767955801105,0.8035714285714286
0.61,0.9052848318462594,0.7899924184988628,0.8903345724907064,0.7849686847599165,0.9212707182320442,0.8050974512743628
0.62,0.8963623884694578,0.7947932618683001,0.879182156133829,0.7885835095137421,0.9157458563535912,0.808446455505279
0.63,0.8915579958819492,0.798306389530408,0.8736059479553904,0.7936170212765957,0.9102209944751382,0.8118361153262519
0.64,0.8846945778997941,0.7990690457719162,0.8680297397769516,0.7922912205567452,0.9005524861878453,0.8144171779141104
0.65,0.87920384351407,0.8009367681498829,0.8680297397769516,0.7922912205567452,0.8922651933701657,0.8157894736842105
0.66,0.8641043239533288,0.8038125496425734,0.8587360594795539,0.7922077922077922,0.8743093922651933,0.8183254344391785
0.67,0.8572409059711736,0.8046437149719776,0.8587360594795539,0.7922077922077922,0.8660220994475138,0.8213716108452951
0.68,0.851063829787234,0.807258064516129,0.8568773234200744,0.7939262472885033,0.8549723756906077,0.8255250403877221
0.69,0.8421413864104323,0.8076609616951915,0.8531598513011153,0.7930283224400871,0.8453038674033149,0.826797385620915
0.7,0.8352779684282773,0.8077239112571898,0.8438661710037175,0.7929515418502202,0.8425414364640884,0.8262295081967214
0.71,0.8291008922443377,0.8104304635761589,0.8364312267657993,0.7977777777777778,0.8370165745856354,0.8267326732673267
0.72,0.8160603980782429,0.8141295206055509,0.8252788104089219,0.8040540540540541,0.8232044198895028,0.8305369127516778
0.73,0.8057652711050103,0.817717206132879,0.8122676579925651,0.8123569794050344,0.81353591160221,0.831918505942275
0.74,0.7989018531228552,0.8213058419243986,0.8048327137546468,0.8175519630484989,0.8066298342541437,0.833904109589041
0.75,0.789293067947838,0.8234782608695652,0.7973977695167286,0.8205128205128205,0.7941988950276243,0.8365217391304348
0.76,0.7803706245710363,0.8267370272647317,0.7899628252788105,0.8235294117647058,0.7817679558011049,0.8409893992932862
0.77,0.7693891557995882,0.8278322925958965,0.7806691449814126,0.8238095238095238,0.7720994475138122,0.8443649373881932
0.78,0.7604667124227865,0.8285198555956679,0.7732342007434945,0.8245192307692307,0.7651933701657458,0.8447653429602888
0.79,0.7515442690459849,0.8301369863013699,0.7657992565055762,0.8276699029126213,0.7596685082872928,0.8436363636363636
0.8,0.7398764584763212,0.8339517625231911,0.7565055762081785,0.828009828009828,0.7472375690607734,0.8484288354898336
0.81,0.7254632807137955,0.8382213812677389,0.7434944237918215,0.83,0.7334254143646409,0.8549905838041432
0.82,0.7137954701441318,0.8451923076923077,0.7286245353159851,0.8418367346938775,0.7251381215469613,0.8590476190476191
0.83,0.7028140013726836,0.8447265625,0.7100371747211895,0.8429319371727748,0.7209944751381215,0.8582375478927203
0.84,0.6884008236101579,0.8494516450648056,0.7007434944237918,0.8514588859416445,0.7030386740331491,0.862475442043222
0.85,0.6767330130404942,0.8509127789046653,0.6970260223048327,0.8506666666666667,0.6892265193370166,0.8637274549098196
0.86,0.6582017844886754,0.8581856100104275,0.6802973977695167,0.8524590163934426,0.6685082872928176,0.8760330578512396
0.87,0.6355525051475635,0.8639308855291576,0.6579925650557621,0.8587570621468926,0.6477900552486188,0.8827292110874201
0.88,0.6225120109814688,0.8676957001102535,0.637546468401487,0.8658892128279884,0.6367403314917127,0.8850325379609545
0.89,0.602608098833219,0.8678815489749431,0.6245353159851301,0.8720238095238095,0.6132596685082873,0.8806306306306306
0.9,0.5751544269045985,0.8782816229116945,0.6059479553903345,0.8834355828220859,0.580110497237569,0.8857142857142857
0.91,0.5511324639670556,0.8829389788293898,0.5892193308550185,0.8927444794952681,0.5511049723756906,0.8872180451127819
0.92,0.5291695264241593,0.8884565499351491,0.5669144981412639,0.898360655737705,0.5331491712707183,0.8886010362694301
0.93,0.5072065888812629,0.8917456021650879,0.5390334572490706,0.9,0.5151933701657458,0.8900804289544236
0.94,0.4756348661633493,0.8946608946608947,0.5111524163568774,0.9090909090909091,0.48204419889502764,0.8882521489971347
0.95,0.44406314344543585,0.8902627511591963,0.483271375464684,0.9076923076923077,0.44613259668508287,0.8792569659442725
0.96,0.39807824296499655,0.8982758620689655,0.4312267657992565,0.9181034482758621,0.39917127071823205,0.8858131487889274
0.97,0.3466026080988332,0.9148514851485149,0.3828996282527881,0.9320388349514563,0.3370165745856354,0.9057377049180327
0.98,0.2717913520933425,0.9191919191919192,0.3104089219330855,0.9161676646706587,0.2569060773480663,0.9193548387096774
0.99,0.17089910775566233,0.9397590361445783,0.21561338289962825,0.9568965517241379,0.14502762430939226,0.9142857142857143
